score,business,source_agency,agency_rating,website,defect_found,evidence_url,phone,email,confidence,verified_date
Cold,"Mehfil Ceramic, Pro Beans, Spicolagy, Tea Town, Tea Time, PetZoo, Mark & Save, Salt, Kusoglu, Shahad Al Jazeera",Abjar Advertising,4.7,,"Not assessable - no website, no Google listing and no search footprint found for any of these names. Absent from the 2,398-business Track 2 dataset too.",https://abjarom.com/portfolio-list/abjar-portfolio/,,,Low - named on Abjar's portfolio but not independently verifiable; missing a website and a contact for each,2026-08-21
Cold,"Pepsi, TRA, OCCI, Nama, Oman Flour Mills, Oman Refreshment",Oman Advertising Agency (OmanAD),4.5,,"Not assessed - large corporates and government regulators. Real names, wrong buyer.",http://www.omanad.net/,,,n/a - excluded by profile,2026-08-21
Cold,"'SFZ', 'Dahabi', 'Friendi', 'MG', 'MSX', 'AP', 'TBT', 'ME', 'Ministry'",Oman Advertising Agency (OmanAD),4.5,,"LOGO-WALL TRAP: these are abbreviations/labels on OmanAD's client wall, not resolvable business names. Not guessed at.",http://www.omanad.net/,,,Low - unresolvable identities,2026-08-21
Cold,"BLOOM, W7W7, COEX, SARAY, OROUBA COFFEE, EL MASRY STEEL, RAMY CLASS, ELTAWFIK ATM, CUTS & NUTS, PICK 'N GO, CHOCOLATE SHOT, CAMPASH, OPPO Egypt, Brijo, Moursi",Ultimate Solutions Technology LLC,4.1,,"OUT OF MARKET: every named client is in Egypt (Cairo, Alexandria, 6th of October, Tanta). The Muscat listing is one branch of an Egypt-headquartered ERP/POS firm; its Oman branch names no Oman clients.",https://ultimatesolutionsportal.com/clients/ ; https://ultimatesolutionsportal.com/success-stories/,,,High - read directly off their clients page,2026-08-21
Hot,"MJounie Artist / Mohammad Al Jounieh (elite hair artist & educator, Oman)",Gazelle Business Solutions,5.0,https://mjounieartist.com/,"www.mjounieartist.com returns HTTP 502 Bad Gateway (Cloudflare) on BOTH http:// and https://, verified twice 4s apart. The apex mjounieartist.com works fine (307 -> /en, Next.js). www and apex resolve to the SAME Cloudflare IPs (188.114.96.6/97.6), so it is an origin host-header misconfiguration, not DNS. Anyone typing or linking www gets an error page.",https://www.gazelletec.com/case-studies/mjounie-artist/ ; https://www.mjounieartist.com/ (502) ; https://mjounieartist.com/en (200),+968 9494 4558 / +968 9852 2091,(site publishes only a gmail address; use the phone),High - 502 reproduced on both schemes and two attempts; DNS compared against 8.8.8.8,2026-08-21
Hot,"Ghazlah (WooCommerce retail store, Oman)",Busma Software,(no rating - 0 reviews on Maps),https://ghazlah.com/,"http://ghazlah.com/ serves the ENTIRE store over plaintext HTTP with no redirect to HTTPS - returns 200 and the identical 256,998-byte body and <title>Homepage - Ghazlah</title>. Every other Busma client site tested (cateyom, ivyfragrance, paliwar, cyr-adventures, magicdeliver, samialhinai, ezar) correctly 301s http to https, so this is specific to Ghazlah. Footer also reads '(c) Ghazlah 2023' - 3 years stale - and last media upload is 2023/08.",http://ghazlah.com/ ; https://ghazlah.com/ ; https://busmasoftware.com/ (links Ghazlah under 'Our Customers'),+968 9238 8093 / +968 9219 7018,sales@ghazlah.com,High - plaintext 200 + byte count + title verified by direct fetch; footer string read from served HTML,2026-08-21
Hot,"EZAR (Omani menswear / tailoring, WooCommerce)",Busma Software,(no rating - 0 reviews on Maps),https://ezar.om/,"Live storefront that takes orders is running WordPress 6.4.1 and WooCommerce 8.7.3 - both late-2023 releases, roughly 2.5 years unpatched (other Busma-built stores on the same list run WP 6.9.7-7.1 and Woo 11.0.1). Last media upload is 2022/09-2023/11. Footer explicitly reads '(c)2026 Ezar - Powered by Busma Software', so the agency relationship is stated on the client's own page.",https://ezar.om/ (meta generator + ver= asset strings) ; https://busmasoftware.com/,+968 9891 6681,,High - version strings and footer text read directly from the served HTML,2026-08-21
Hot,"Builders Life International LLC (construction, maintenance & interior design, Oman)",Gazelle Business Solutions,5.0,http://www.builderslifellc.com/ (DEAD),"The domain is GONE: builderslifellc.com and www.builderslifellc.com both return NXDOMAIN from Google (8.8.8.8) and Cloudflare (1.1.1.1) resolvers - not a server outage, the domain has no DNS at all. Search engines still index the old content and Gazelle still publishes them as a live case study, so this is also a stale-portfolio entry.",https://www.gazelletec.com/case-studies/builders-life-international-llc/ ; dig @8.8.8.8 builderslifellc.com -> NXDOMAIN,+968 9533 2626,,Defect: High (NXDOMAIN on two independent public resolvers). PHONE: MEDIUM - it comes from a search-engine cache of the now-dead site and could not be re-verified against a live page. Confirm on the call.,2026-08-21
Warm,Sami Al Hinai Photography (Oman),Busma Software,(no rating - 0 reviews on Maps),https://samialhinai.com/,"Dormant: newest media upload is 2023/01 (3.5 years ago), and the page renders no visible copyright or date line at all. Loads over HTTPS with a viewport and redirects correctly - the problem is abandonment, not breakage.",https://samialhinai.com/ ; https://busmasoftware.com/,+968 9299 1181,sami@hinai.net (published on his own site),Medium - staleness is inferred from upload paths and the absence of a date line; no hard breakage to screenshot,2026-08-21
Warm,"Catey (cateyom.com - pet supplies e-commerce, Oman)",Busma Software,(no rating - 0 reviews on Maps),https://cateyom.com/,"Soft signals only: running Elementor 4.0.7 while sibling Oman sites built on the same stack run 4.2.3; newest media upload 2025/07; footer copyright line carries no year at all ('(c) www.cateyom.com'). Site loads clean over HTTPS, viewport present, http and www both redirect correctly.",https://cateyom.com/ ; https://cateyom.com/contact-us/ ; https://busmasoftware.com/,+968 9752 2009,,"Medium - version lag and upload dates verified, but none of it is a defect a customer would notice",2026-08-21
Cold,"Golden Remas Enterprise (cleaning & manpower services, Oman)",Gazelle Business Solutions,5.0,https://www.goldenremas.com/,"FALSE POSITIVE CAUGHT: an automated scan flagged 'UNDER CONSTRUCTION' on the homepage, but the string is the title of an inline SVG service icon, not a page state. Site is genuinely current - footer '(c) 2026', media uploads through 2026/02, HTTPS, viewport present.",https://www.goldenremas.com/ ; https://www.gazelletec.com/case-studies/golden-remas-enterprise/,+968 9798 9690 / +968 9218 4826,,High - trap identified by reading the surrounding markup rather than the grep hit,2026-08-21
Cold,Best House Trading & Contracting LLC (Oman),Gazelle Business Solutions,5.0,https://www.besthousetrading.com/,"None found. HTTPS, viewport present, footer '(c) Copyright BHTC 2026', WordPress 7.1 + Elementor 4.2.3 (current). Maintained.",https://www.besthousetrading.com/ ; https://www.gazelletec.com/case-studies/best-house-trading-contracting-llc/,+968 9933 9690 / +968 9938 5584,,High,2026-08-21
Cold,"GLENTR - Global Engineering & Trading LLC (industrial automation, Oman)",Gazelle Business Solutions,5.0,https://glentr.com/,"None found. HTTPS, viewport, WordPress 7.1 + Elementor 4.2.3, www correctly 301s to apex. Maintained.",https://glentr.com/ ; https://www.gazelletec.com/case-studies/glentr-global-engineering-trading-llc/,+968 9696 5838,,High,2026-08-21
Cold,"Pro Swim Academy Oman (swimming school, Muscat & Salalah)",Gazelle Business Solutions,5.0,https://www.proswimacademyoman.com/,"None found. HTTPS, viewport, all four host/scheme variants resolve correctly, has its own Android app. Maintained.",https://www.proswimacademyoman.com/ ; https://www.gazelletec.com/case-studies/proswim-academy-oman/,+968 7754 5053,info@proswimacademyoman.com,High,2026-08-21
Cold,"CYR Adventures, IVY Fragrances, Magic Deliver, Paliwar",Busma Software,(no rating - 0 reviews on Maps),cyr-adventures.com / ivyfragrance.com / magicdeliver.com / paliwar.om,"None found on any of the four. All serve over HTTPS with a viewport, all redirect http and www correctly, and all carry 2026 media uploads and current WooCommerce 11.0.1. Actively maintained.",https://busmasoftware.com/ ; each domain fetched individually,CYR +968 9255 2208 ; Paliwar +968 9335 3636,CYR info@cyr-adventures.com ; Magic Deliver info@magicdeliver.com,High,2026-08-21
Cold,Horizon Compass For Business,Gazelle Business Solutions,5.0,(none found),"PARTNER TRAP: Gazelle's case-study page for this client carries no client website - the only outbound link on it goes to www.bitzburg.com, which is 'Bitzburg - Best Web Design Company in Nagercoil', a Tamil Nadu web shop selling offshore development into Oman and the GCC. That is Gazelle's build partner or supplier, not the client's site. No Horizon Compass domain located.",https://www.gazelletec.com/case-studies/horizon-compass-for-business/ ; https://www.bitzburg.com/,,,High on the trap; no contact or site exists to act on,2026-08-21
Cold,Ghada Makeup,Busma Software,(no rating - 0 reviews on Maps),https://ghada-makeup.com/ (DEAD),"STALE PORTFOLIO ENTRY: Busma still links ghada-makeup.com from its 'Our Customers' block, but the domain returns NXDOMAIN from 8.8.8.8. Identity cannot be resolved - at least four different 'Ghada' makeup-artist accounts serve Muscat and none can be tied to this domain.",https://busmasoftware.com/ ; dig @8.8.8.8 ghada-makeup.com -> NXDOMAIN,,,Dead domain: High. Identity: LOW - do not guess which Ghada this is,2026-08-21
Cold,"Medcoding Institute, Muscat Best Cleaning Services, NGL Construction, NGL Property, Vishanth Exim",Gazelle Business Solutions,5.0,(none found),"Named on Gazelle case-study pages but each page is content-free - it carries only 'Project Info / Client: <name>' plus screenshots, with no client URL. None of the five has an independent web footprint I could verify, and none appears in the 2,083-row Track 2 dataset.","https://www.gazelletec.com/case-studies/ (12 case studies, 5 with no resolvable client)",,,"Low - real names, unverifiable businesses, no contact",2026-08-21
Cold,"Marafiq, Bank Muscat, OQ8, Iqadiyat, TMT (+16 unnamed logos)",Web Magic Design (WMD Oman),5.0,(n/a),"LOGO-WALL TRAP plus wrong buyer. WMD's 'Our Clients' block is 21 images with alt='client' on every one; 16 are numbered files (4.png, 11.png...) with no readable name. The five whose filenames are readable are Marafiq, Bank Muscat, OQ8, Iqadiyat and TMT - utilities, a bank and state-linked energy entities, not OMR 800 website buyers. The portfolio page itself is photography and film stills with camera filenames (DSC4675.jpg), no client attribution.",https://wmdoman.com/ (#clients) ; https://wmdoman.com/portfolio/,,,High on the read; nothing actionable in it,2026-08-21
Cold,"Zebra, Evolis, Suprema, Milesight, Cardpresso, Ablerex, Elsy, Rio Retail",Elite International Information Systems LLC,4.9,(n/a),"PARTNER TRAP: this list is Elite's 'Technical Partners' block - hardware vendors it resells, not clients it built sites for. Its actual /case-studies page renders a single 'Case Studies.' heading and no content to a plain fetch.",https://www.elitesystemsme.com/ ; https://www.elitesystemsme.com/case-studies,,,"High - correctly excluded, not a client list",2026-08-21
Cold,"Google, Microsoft, Paymob, Odoo, AWS",Programi Tech,5.0,(n/a),"TOOL TRAP: Programi's 'Our Partners' strip is the software stack it resells (it is an Odoo partner), not customers. No client list published.",https://www.programi.tech/,,,High - correctly excluded,2026-08-21
Cold,"frankfurtblacklimo.com, hijabulhareem.com, parisbo.com, wizardanimations.com, mobilezmarket.com, skilledkidssquad.com",Digital Trends (digitaltrendss.com),5.0,(various),"OUT OF MARKET: the 'portfolio' page is a freelancer CV with certificates. Every linked client is outside Oman (Frankfurt limo hire, a Paris-branded store, an animation studio). No Oman client named.",https://digitaltrendss.com/portfolio/,,,High - read directly off the page,2026-08-21
Cold,"Imperial Ride, LaundrEZ, Chatical, Krispy Chicken, MadeEasy, Quick Date, Xcoin Xchange",Lime Green Apps,(no rating - 0 reviews on Maps),(various),"OUT OF MARKET: despite the 'Mobile App Development Company Oman' Maps listing, the case-studies page names only New York, Delaware and Karachi offices and no Oman client.",https://limegreenapps.com/case-studies/,,,High,2026-08-21
Cold,(clients page has no readable names),La Casa web design company (egyptgoogle.com),(no rating - 0 reviews on Maps),(n/a),"OUT OF MARKET + LOGO WALL: listed on Maps as a Muscat web design company, but the site is Egyptian - address '156 Arouba St, Heliopolis', phone +20 10 01290573, info@egyptgoogle.com. Its clients page (عملائنا) is entirely Arabic navigation and images with no extractable business names.",https://www.egyptgoogle.com/clients.php,,,High on the out-of-market call; client names unreadable,2026-08-21
Cold,Syed Hasan and Partners,Abidi Designers Advertising and Marketing Agency,5.0,(none found),"Only one client name is readable anywhere on Abidi's site, and it appears as an image alt attribute ('Syed Hasan and Partners Logo'), not as a portfolio entry. The rest of the portfolio is 12 unlabelled JPEGs (full-project-1.jpg ... full-project-12.jpg).",http://abididesigners.com/ (#portfolio),,,"Low - single alt-text mention, relationship unconfirmed, no client site found",2026-08-21
